名称,经纬度
金家店站,"121.563905,43.654709"
卓山站,"120.86548,49.240841"
兴和站,"114.641749,42.176357"
小扬气站(东出站口),"124.287421,50.795074"
刘伟壕站,"109.758146,41.155565"
大杨树东站,"124.66037,49.711881"
西斗铺站,"109.796564,41.220438"
索图罕站,"122.884518,50.632089"
孟根站,"119.807298,48.796126"
春亭阁站,"124.4925,49.791031"
平庄南站,"119.257735,41.979157"
敖气沟站,"109.999157,39.648505"
海拉尔东站,"119.829201,49.256091"
开鲁站(南进站口),"121.284923,43.633034"
奇力滨站,"122.9626,50.930359"
岳家井站,"104.282066,37.582234"
朝阳村站,"124.328799,50.025705"
卧牛河站,"122.692355,48.080849"
克一河站,"122.494831,50.652081"
大黑沟站,"120.481074,47.348746"
乌拉特前旗站(东北出站口),"108.650671,40.712931"
乌拉特前旗站(东北进站口),"108.650492,40.713016"
中滩站,"106.797978,39.604473"
新帐房站,"121.819137,50.141541"
乌鲁布铁站,"124.374408,49.888963"
庆阳山站,"104.005407,37.590873"
本井站,"105.914764,39.404263"
外西沟站,"112.163056,40.283656"
苏宏图站,"104.162837,41.248015"
巴彦高勒站(西出站口),"107.021102,40.332889"
额济纳站(东北出站口),"101.034405,41.89881"
阿里河站(北出站口),"123.730723,50.580102"
巴彦高勒站(西进站口),"107.021156,40.333049"
薛家湾站(西南出站口),"111.237268,39.868818"
五里站,"122.825362,47.783595"
喀喇其站,"122.056272,50.701625"
保康站(西南进站口),"123.326537,44.127994"
公乌素站,"106.911242,39.343541"
狼峰站,"121.217995,48.070796"
二道营子站,"122.479389,43.813109"
沃博尔站,"102.668825,41.860748"
伊敏站,"119.789458,48.650961"
金林站,"121.276147,51.144345"
五丰站,"119.253255,41.996897"
拉僧仲庙站,"106.887041,39.480122"
库伦站(南出站口),"121.832307,42.739584"
萨拉齐站候车室,"110.531523,40.564131"
红彦站,"124.982246,49.513595"
哈达阳站,"125.21667,49.302134"
银阿站,"122.329497,50.646712"
鹤门站,"118.222761,49.278053"
达拉滨站,"124.789184,49.665611"
图克木庙站,"105.694237,40.716318"
保康站(西南出站口),"123.326316,44.128354"
岭南站,"121.785916,50.210338"
忽吉图站,"109.902107,41.684031"
纳林川站,"110.834222,39.734932"
齐奇岭站,"123.884625,50.535451"
阿源站,"123.530102,51.022481"
二连站(西南进站口),"111.986751,43.657326"
义丰站,"112.506035,40.92669"
四十七站,"123.481779,50.920922"
哈列图站,"125.180535,49.388222"
新天站,"124.214043,51.212231"
大雁站(西北出站口),"120.55199,49.232051"
道木达站,"121.530858,50.541728"
嘎拉牙站,"121.612929,51.469274"
头道桥站,"107.144827,40.589387"
杨木山站,"124.894089,49.567093"
反修站(暂停营业),"100.569921,41.863269"
塔班站,"108.582001,40.755953"
梨子山站,"121.316153,48.303508"
棋盘井站,"106.97003,39.331408"
塔朗空站,"121.931795,51.833066"
农垦四团站,"106.59994,40.774637"
兴支线五公里站,"122.91328,50.966661"
嵯岗站,"118.099657,49.256854"
乃林站,"119.274043,41.910879"
苏格河站,"121.250761,48.16269"
碱地站,"113.186125,40.487273"
九苏木站,"112.648807,40.483112"
猛鹫山站(暂停营业),"121.412401,46.402001"
库伦站(南进站口),"121.832426,42.73958"
呼和浩特站(出站口),"111.664892,40.830795"
集宁南站(东出站口),"113.099405,41.031984"
集宁南站(东进站口),"113.099679,41.031592"
通辽站(西北进站口),"122.270996,43.60511"
包头东站(北进站口),"110.024906,40.570423"
包头东站(北出站口),"110.024124,40.570592"
临河站(西北进站口),"107.428649,40.743854"
临河站(西北出站口),"107.429321,40.744186"
通辽站(西北出站口),"122.271987,43.605294"
呼和浩特东站(南2出站口),"111.766247,40.849792"
呼和浩特站(南出站口),"111.665072,40.830828"
呼和浩特东站(南进站口),"111.765887,40.849743"
呼和浩特站(东进站口),"111.666091,40.83077"
海拉尔站(出站口),"119.743618,49.229839"
海拉尔站(东进站口),"119.744036,49.230375"
海拉尔站(东进站口),"119.744036,49.230375"
孝西站,"111.774879,37.139002"
太原站,"112.587115,37.860259"
太原东站,"112.586731,37.885498"
大同站,"113.304047,40.120843"
临汾西站,"111.466741,36.101166"
运城北站,"110.984745,35.098864"
晋城站,"112.873435,35.475763"
长治站,"113.070226,36.188322"
忻州站,"112.746465,38.419703"
长治北站,"113.125788,36.307892"
平遥古城站,"112.148933,37.157199"
阳泉北站,"113.438186,38.114494"
永济北站,"110.424764,35.027458"
运城站,"110.990483,35.025867"
临汾站,"111.537207,36.088563"
侯马西站,"111.289142,35.601526"
高平站,"112.918692,35.801271"
晋城北站,"112.904885,35.509177"
朔州站,"112.448324,39.315518"
洪洞西站,"111.581472,36.253447"
阳泉站,"113.591981,37.856706"
闻喜西站,"111.180278,35.336251"
榆次站,"112.731513,37.696384"
侯马站,"111.358508,35.613232"
霍州东站,"111.836818,36.564754"
介休站,"111.918849,37.018445"
古交站,"112.163841,37.91823"
太谷西站,"112.509585,37.44793"
襄汾西站,"111.337225,35.838207"
怀仁站,"113.094518,39.828523"
东镇站,"111.310901,35.425976"
五台山站,"113.565969,39.265211"
平遥站,"112.168596,37.20757"
永济站,"110.453862,34.869937"
洪洞站,"111.671043,36.261884"
河津站,"110.725804,35.587404"
皇后园站,"112.573266,37.971199"
天镇站,"114.067758,40.452031"
汾河站,"112.538598,37.948094"
寿阳站,"113.191651,37.882055"
镇城底站,"112.061518,37.956704"
太谷站,"112.570375,37.421945"
岱岳站,"112.825101,39.516781"
宁武站,"112.320219,39.007653"
霍州站,"111.719541,36.586544"
原平站,"112.727127,38.718849"
祁县站,"112.332718,37.346803"
翼城站,"111.710746,35.742327"
神头站,"112.551283,39.359928"
襄汾站,"111.442258,35.880184"
新绛站,"111.210006,35.610246"
稷山站,"110.995611,35.612392"
闻喜站,"111.216613,35.356217"
大同南站,"113.365088,40.046162"
灵丘站,"114.222686,39.461894"
定襄站,"112.960582,38.478574"
代县站,"112.984503,39.076841"
娘子关站,"113.88006,37.962355"
风陵渡站,"110.310623,34.631547"
赵城站,"111.699997,36.380519"
大涧站,"114.302986,39.479263"
榆社站,"112.96954,37.051911"
太原南站,"112.610823,37.791639"
原平南站,"112.703435,38.672061"
潞城站,"113.221896,36.320754"
岢岚站,"111.580993,38.718523"
柳林南站,"110.931843,37.443191"
阳高站,"113.739509,40.36539"
轩岗站,"112.431587,38.894166"
东冶站,"113.16027,38.63408"
永嘉堡站,"114.221222,40.528516"
沁县站,"112.705243,36.758712"
大辛庄站,"113.100578,36.242664"
忻州西站,"112.69332,38.443096"
三给村站,"112.492248,37.908306"
关村站,"113.140871,36.209966"
忻州站(西进站口),"112.746697,38.419672"
黎城站,"113.392192,36.514947"
临汾站(西出站口),"111.536723,36.086822"
太原北站(西进站口),"112.56579,37.917715"
平遥古城站(西北进站口),"112.149921,37.155958"
繁峙站,"113.272523,39.16397"
平遥古城站(西北出站口),"112.150178,37.156026"
燕庄站,"113.332053,40.135929"
祁县站(北进站口),"112.331022,37.346587"
神池站,"112.199093,39.082922"
辛置站,"111.712429,36.491634"
文水站,"112.078023,37.439712"
阳泉曲站,"111.553109,37.074188"
辛庄站,"111.171395,35.293956"
平遥站(东南进站口),"112.168474,37.207052"
平社站,"112.596753,38.274609"
东观站,"112.470137,37.384877"
阳城站,"112.492799,35.492326"
介休东站,"111.987499,37.053347"
东河南站,"114.046336,39.372203"
闻喜西站(东南进站口),"111.179796,35.336468"
闻喜西站(东南出站口),"111.179695,35.336263"
五寨站,"111.833723,38.916953"
临汾站(西进站口),"111.536708,36.086894"
马家窑站,"111.597619,35.327136"
洪洞站(东南进站口),"111.67166,36.262211"
孙常站,"110.573228,34.872602"
河边站,"113.101089,38.600914"
西张站,"112.474471,37.952636"
金山铺站,"113.640347,39.290754"
东庄站,"113.828717,39.266272"
招柏站,"114.409316,39.404632"
和顺站,"113.568105,37.315072"
蒲县站,"111.179628,36.370076"
寺庄站,"112.637672,38.291865"
华岩站,"113.367915,39.192294"
忻州站(西出站口),"112.746673,38.419944"
阴塔站,"111.387677,39.050023"
史店站,"111.335835,35.561845"
阳明堡站,"112.879496,39.0057"
太西集运站,"112.495151,37.823143"
灵石东站,"111.91545,36.879707"
磨滩站,"112.595116,35.337956"
娄烦站,"111.84062,38.075361"
太原北站(西出站口),"112.565809,37.917886"
运城西站,"110.846834,34.963095"
万荣站(建设中),"110.62838,35.408034"
云彩岭站,"114.363394,39.448907"
洪洞西站(东南进站口),"111.581391,36.253709"
洪洞西站(东南出站口),"111.581284,36.253573"
祁县东站(西南进站口),"112.357443,37.323583"
孝西站(西北进站口),"111.774971,37.13961"
代县西站,"112.804929,39.049421"
孝柳铁路,"111.78555,37.137683"
孝柳铁路,"111.789671,37.142476"
侯马西站(北出站口),"111.288794,35.601158"
夏小堡站,"114.119298,40.503057"
朔州西站,"112.406367,39.298581"
安泽站(建设中),"112.237419,36.182999"
隰县站,"110.927133,36.650362"
灵丘站(南进站口),"114.222727,39.461963"
忻口站,"112.747622,38.610633"
侯马西站(北进站口),"111.288568,35.601516"
晋城东站(建设中),"112.982558,35.535737"
孝南站,"111.824622,37.10215"
平遥站(东南出站口),"112.168147,37.206835"
高平东站(建设中),"112.964064,35.737889"
阳曲站,"112.682525,38.058344"
灵石站,"111.771488,36.86059"
小宋站,"113.025233,36.130013"
西武匠站,"112.876603,35.450084"
永济北站(南出站口),"110.4242,35.027683"
永济北站(南进站口),"110.424649,35.027676"
石楼县站,"110.803163,36.968915"
永济站-候车室,"110.453692,34.869528"
滴流磴站,"113.361075,38.448938"
测石站,"113.394287,37.861441"
代县站(北出站口),"112.984472,39.077013"
北板桥站,"112.893232,35.649372"
太原南站(东进站口),"112.611827,37.7924"
太原南站(东出站口),"112.612342,37.79209"
蒲州站,"110.33498,34.827222"
穆村站,"110.842482,37.418885"
下社站,"113.178285,39.149846"
孔庄站,"112.964179,35.330589"
交城站,"112.195408,37.520892"
兑镇站,"111.610378,37.090113"
灵丘站(东出站口),"114.223088,39.462056"
鸣李站,"112.643343,37.768628"
虞乡站,"110.628723,34.868491"
太原南站东自助售票处1,"112.611964,37.79321"
太原南站东自助售票处2,"112.61255,37.792743"
禹门口站,"110.637892,35.662675"
阳泉北站(东进站口),"113.438219,38.115198"
西草寨站,"112.491165,37.660632"
襄垣东站(建设中),"113.083173,36.53554"
祁县站(北出站口),"112.330799,37.346521"
祁县东站(西南出站口),"112.357649,37.323784"
介休站(北出站口),"111.91945,37.018517"
临县站,"110.995775,37.88967"
晋中站,"112.642424,37.686554"
四老沟站,"113.047578,39.988744"
祁县东站,"112.357214,37.323659"
韩阳镇站,"110.304808,34.769124"
北义井站,"112.840662,38.458453"
山阴站,"112.941249,39.466388"
阳泉东站,"113.600418,37.884666"
高平站(进站口),"112.918861,35.801067"
聚乐堡站,"113.600746,40.137608"
朔州东站(建设中),"112.600026,39.292878"
雁儿崖站,"113.023615,39.971447"
洪洞站(东南出站口),"111.671411,36.261858"
长治东站(建设中),"113.165973,36.231061"
郊区站,"113.61074,37.943317"
朔州站(西进站口),"112.447257,39.316207"
太谷东站(建设中),"112.625626,37.452972"
东元庆站,"112.939474,35.570471"
河底站,"113.570898,38.002701"
播明站,"112.743309,38.495897"
豆罗站,"112.701649,38.30634"
王家会站,"111.035953,37.478495"
吕梁站,"111.1377,37.568014"
阳泉站(南出站口),"113.591611,37.856512"
洪善站,"112.260216,37.279585"
盂县东站,"113.516433,38.105024"
冷泉站,"111.736979,36.824179"
褚家沟站,"111.731114,37.356778"
昔阳站,"113.677909,37.62696"
文水站(西出站口),"112.078265,37.439513"
文水站(西进站口),"112.077677,37.439587"
古东站,"112.23109,37.921298"
枣林站,"113.094506,39.13249"
白壁关站,"111.721729,37.143252"
林家坪站,"110.869103,37.686601"
高显站,"111.409123,35.715969"
云州站,"113.657919,40.018512"
牛晶坪站,"112.920543,37.440872"
霍州东站(东北进站口),"111.837082,36.564898"
霍州东站(东北出站口),"111.83709,36.565248"
阳泉北站(西出站口),"113.437149,38.114676"
古东站(东南进站口),"112.231287,37.921125"
长治南站(建设中),"113.107521,36.094065"
云冈站,"113.177279,40.101431"
霍州站(西南进站口),"111.71959,36.586191"
塔山站,"113.088191,39.931885"
汾阳站(南出站口),"111.917077,37.37251"
大同南站(出站口),"113.364998,40.045475"
大同南站(进站口),"113.364999,40.045454"
阳高南站,"113.801383,40.314387"
襄垣站候车室,"113.03568,36.506358"
蔡家崖站,"111.0221,38.493725"
代县站(北进站口),"112.984472,39.077014"
介休东站(西北出站口),"111.988081,37.053416"
介休东站(西北进站口),"111.987811,37.053194"
董村站,"110.735246,34.896562"
汾阳站(南进站口),"111.917237,37.372524"
岚县站,"111.643788,38.251388"
阳高南站(出站口),"113.801479,40.315006"
阳高南站(进站口),"113.801739,40.315215"
原平西站,"112.675385,38.738675"
天镇站(进站口),"114.067686,40.452047"
介休站(北进站口),"111.919264,37.018464"
介休工业站,"111.888156,37.018781"
古店站,"113.305846,40.17439"
芦庄站,"112.500828,38.889994"
襄汾站(东南进站口),"111.442218,35.880277"
原平站(东出站口),"112.728204,38.719354"
大同口泉站,"113.140846,40.008548"
太谷站(西北进站口),"112.5699,37.421859"
太谷站(西北出站口),"112.570087,37.422034"
平旺站,"113.217818,40.067517"
白洞站,"113.064133,40.002162"
怀仁东站(西北出站口),"113.163613,39.793818"
集义庄站,"113.471338,39.226095"
太谷西站(东南出站口),"112.509248,37.448062"
太谷西站(东南进站口),"112.509459,37.448215"
孝西站(西北出站口),"111.775352,37.139587"
黍地沟站,"113.346061,40.218802"
榆次站(东北出站口),"112.732321,37.696465"
原平站(东进站口),"112.727846,38.719801"
榆次站(东北进站口),"112.731184,37.697375"
河边站(西北进站口),"113.100623,38.600457"
北田受站,"112.828463,37.471427"
怀仁东站(西北进站口),"113.162875,39.793331"
河边站(西北出站口),"113.100595,38.600345"
阳高罗文皂站,"113.905429,40.411164"
朔州站(西出站口),"112.448353,39.316499"
解家庄站,"113.425093,40.054403"
晋中站(东南进站口),"112.642587,37.686597"
晋中站(东南出站口),"112.641791,37.686176"
中阳站,"111.18892,37.355209"
襄汾西站(东南出站口),"111.337464,35.83814"
襄汾西站(东南进站口),"111.337504,35.838284"
霍州站(西南出站口),"111.719611,36.585755"
南陈铺站,"112.90882,35.727926"
安塘站,"111.707782,38.815889"
西阳村站,"112.874305,35.873919"
大营站,"113.732894,39.286423"
赵庄站,"112.858469,35.943535"
首阳站,"110.273654,34.683789"
韩家楼站,"111.587002,39.093477"
沿寨站,"112.945299,37.409098"
孤山站,"113.330969,40.226001"
定襄站(北进站口),"112.960464,38.478992"
郝村站,"112.770753,37.525094"
下盘石站,"113.792117,37.885676"
凤凰村站,"112.318954,38.975638"
路家庄站,"112.937101,37.369158"
高平站(出站口),"112.918991,35.800628"
东淤地站,"113.907732,39.263824"
辛庄站,"113.196979,39.973716"
程家站,"113.851758,37.922674"
阳曲西站,"112.647803,38.072404"
芹泉站,"113.288387,37.862505"
庄儿上站,"112.004607,39.032469"
秦家庄站,"111.652544,38.804953"
太原南站(西出站口),"112.609574,37.790337"
平型关站,"113.97855,39.326221"
崞阳镇站,"112.775007,38.899216"
寇庄站,"112.311879,39.283429"
永嘉堡站(南出站口),"114.221102,40.528472"
神池南站,"112.196076,39.078794"
龙宫站,"112.50079,38.934952"
北格站,"112.548173,37.654019"
上湖站,"113.07881,37.798883"
永嘉堡站(南进站口),"114.221028,40.52837"
唐之洼站,"114.13192,39.393062"
定襄站(北出站口),"112.960306,38.478971"
佛峪站,"112.895503,37.441322"
阳泉站(南进站口),"113.592216,37.856395"
金沙滩站,"112.918804,39.673636"
怀仁东站,"113.162502,39.793942"
清徐站,"112.313124,37.557664"
山阴站(西北出站口),"112.940758,39.466521"
山阴站(西北进站口),"112.940645,39.46643"
张礼站,"111.477657,35.995521"
万安站,"111.834754,37.041379"
马首站,"113.151369,37.835268"
临猗站(建设中),"110.767951,35.064288"
北周庄站,"112.848341,39.599332"
乱流站,"113.700242,37.862017"
阳高站(东进站口),"113.739463,40.365532"
韩村站,"112.926933,36.955143"
台曲站,"112.954878,36.989535"
襄汾站(东南出站口),"111.442094,35.88021"
北白站,"112.661392,38.188679"
南塔底站,"112.634695,38.020809"
岩会站,"113.741911,37.879342"
微子镇站,"113.293166,36.324698"
运城站(西南进站口),"110.990947,35.026117"
张兰站,"112.072418,37.134769"
蒋村站,"113.034624,38.533384"
前寨站,"112.39622,39.23159"
唐林岗站,"112.728106,38.67275"
红石崖站,"112.971902,39.951386"
应县站,"113.063388,39.625114"
宋家庄站,"113.018166,39.755986"
南湾站,"113.223173,38.588827"
周士庄站,"113.473555,40.117166"
东马站,"112.954232,37.137501"
南王站,"112.732601,36.806235"
修文站,"112.719907,37.606877"
东坡站,"112.922233,35.385228"
五寨站(南出站口),"111.833984,38.91698"
潞城站(西北进站口),"113.222306,36.321045"
阳高站(东出站口),"113.739745,40.365074"
红崖站,"112.86328,37.465204"
运城站(东南出站口),"110.990411,35.025662"
东榆林站,"112.765549,39.441397"
袁树林站,"112.678539,39.385351"
薛孤站,"112.741168,38.805876"
高村站,"112.69263,38.168892"
沁县站(西进站口),"112.705241,36.758813"
武乡站,"112.853628,36.856043"
段廷站,"112.984117,37.734811"
襄垣站,"113.035547,36.506143"
阳方口站,"112.3393,39.096284"
嘉峰站,"112.522231,35.586566"
义棠站,"111.843417,36.9967"
长畛站,"112.392402,38.931066"
阳曲站(西北出站口),"112.682375,38.058191"
古东站(东南出站口),"112.230782,37.920918"
里八庄站,"113.190644,39.900567"
偏店站,"111.660168,37.102905"
水洋站,"113.328223,36.463367"
运城解县站,"110.851364,34.924742"
芦家庄站,"113.055109,37.736902"
长子站,"112.962976,36.066052"
李家坪站,"111.916406,38.984035"
庄头站,"113.272418,36.122784"
吕梁站(东出站口),"111.137922,37.567839"
阳乐站,"112.953949,37.282496"
吕梁站(东进站口),"111.13803,37.56834"
店坡站,"110.921499,34.973566"
社城站,"112.962531,37.216104"
王董堡站,"112.812825,38.960149"
阳泉站-候车厅,"113.591868,37.856002"
吕梁北站(暂停营业),"111.177255,37.677077"
店上站,"113.090816,36.443363"
东河站,"112.861079,36.943144"
白文东站,"111.097084,38.153177"
石会站,"112.97702,37.318319"
武乡西站(建设中),"112.796215,36.848855"
弘赐站,"113.329816,40.297465"
堡子湾站,"113.287092,40.335382"
应县站(东北进站口),"113.064165,39.625569"
汾阳站,"111.916809,37.372114"
横岭关站,"111.622263,35.365956"
五阳站,"113.07189,36.470312"
虒亭站,"112.8053,36.580626"
太原南站(西进站口),"112.609258,37.790467"
五台洼站,"113.224497,40.388184"
晋城站(出站口),"112.873184,35.475444"
晋城站(进站口),"112.873283,35.475742"
长治北站(西北进站口),"113.125003,36.308663"
长治站(东南进站口),"113.071083,36.188638"
长治北站(西北出站口),"113.124953,36.308522"
运城北站(出站口),"110.984536,35.099195"
运城北站(进站口),"110.984281,35.098672"
临汾西站(东南出站口),"111.465796,36.101639"
临汾西站(东南进站口),"111.465857,36.101785"
长治站(东南出站口),"113.071119,36.188724"
大同站(西南出站口),"113.302838,40.12091"
大同站(西南进站口),"113.302448,40.119921"
衡水站,"115.691394,37.743738"
深州站,"115.613442,38.011567"
石家庄北站,"114.465406,38.066124"
张家口站,"114.882686,40.750754"
邯郸站,"114.475525,36.601362"
唐山站,"118.117745,39.625613"
清河城站,"115.686466,37.063643"
廊坊北站,"116.705785,39.513366"
沧州西站,"116.768146,38.306459"
廊坊站,"116.708928,39.509063"
高碑店东站,"115.946153,39.288858"
唐山北站,"118.11862,39.816327"
邢台站,"114.49229,37.070451"
沧州站,"116.877617,38.308926"
秦皇岛站,"119.591843,39.965688"
涿州东站,"116.053828,39.460223"
定州站,"114.97393,38.530893"
北戴河站,"119.419926,39.851288"
承德站,"117.955595,40.964999"
任丘站,"116.144318,38.694298"
涿州站,"115.985022,39.481591"
泊头站,"116.586402,38.06055"
滦县站,"118.705415,39.758275"
正定机场站,"114.709263,38.251873"
保定东站,"115.600776,38.863801"
高邑西站,"114.530384,37.629767"
藁城南站,"114.85489,37.986251"
燕郊站,"116.826132,39.941839"
霸州站,"116.376267,39.122779"
高碑店站,"115.858715,39.329044"
昌黎站,"119.167796,39.704375"
藁城站,"114.833514,38.027045"
沙河市站,"114.49713,36.861517"
涉县站,"113.668528,36.577408"
正定站,"114.556183,38.161641"
迁安站,"118.692787,39.925794"
南堡站,"118.165378,39.24338"
宣化站,"115.055388,40.59809"
沙城站,"115.515792,40.397562"
龙华站,"116.021256,37.611314"
晋州站,"115.031567,38.02104"
青县站,"116.838631,38.577822"
丰润南站,"118.146117,39.79695"
枣强站,"115.738258,37.504443"
井店站,"113.722334,36.605234"
四合永站,"117.828408,41.801348"
石家庄站,"114.485118,38.010198"
井陉站,"114.136597,38.0349"
东光站,"116.531327,37.892419"
高邑站,"114.597582,37.605066"
肃宁站,"115.850045,38.4149"
滦平站,"117.316253,40.923607"
景州站,"116.139717,37.647166"
隆化站,"117.750936,41.328323"
下板城站,"118.176543,40.77415"
柳辛庄站,"114.509551,38.100774"
王家井站,"115.385207,37.829394"
涞源站,"114.712813,39.370677"
张家口站(暂停营业),"114.888666,40.813614"
饶阳站,"115.7169,38.237431"
野三坡站,"115.454502,39.67195"
石门站,"118.855013,39.724737"
山海关站,"119.768142,40.000039"
兴隆县站,"117.513877,40.436668"
张家口站(西出站口),"114.888647,40.813901"
大营镇站,"115.736018,37.318279"
获鹿站,"114.321764,38.077184"
朝阳地站,"118.225722,42.024319"
马头站,"114.426981,36.476102"
抚宁站,"119.24968,39.894209"
九龙山站,"118.990983,39.712703"
卢龙站,"118.984095,39.952779"
东站贾庵子货场,"118.205917,39.7136"
霸州西站,"116.350206,39.093563"
吴桥站,"116.386403,37.627958"
黄家店站,"118.205552,41.968481"
西柏坡站,"114.087041,38.263479"
流水沟站,"117.141996,40.706895"
赵王城站,"114.451225,36.589383"
保定站,"115.479846,38.863197"
邯郸东站,"114.559202,36.619656"
元氏站,"114.544028,37.759502"
郭磊庄站,"114.551195,40.720624"
鹰手营子站,"117.662234,40.54996"
平泉站,"118.700152,40.999539"
玉田县站,"117.734212,39.882178"
内邱站,"114.532798,37.296271"
包官营站,"118.819443,39.962768"
秦皇岛站(南出站口),"119.591458,39.964784"
富庄子站,"117.936256,39.843217"
庙宫站,"117.864218,41.716951"
沙岭子站(装修中),"114.924852,40.673118"
杨家口站,"118.135454,39.69259"
崔马庄站,"118.167978,39.759344"
百里峡站,"115.393981,39.683736"
秦皇岛站(南进站口),"119.59209,39.964777"
虎什哈站,"116.997012,40.862048"
银镇站,"118.041004,41.905826"
狼窝铺站,"118.294644,39.841402"
窑上站,"117.408316,40.983708"
纪家沟站,"118.133318,41.929846"
定州东站(东北出站口),"115.075564,38.508869"
石家庄站(西进站口),"114.481922,38.01064"
李窑站,"116.869779,38.528629"
徐水站,"115.645396,39.033566"
广平站,"114.940267,36.496642"
白涧站,"115.289559,39.646523"
黄骅站,"117.332295,38.356643"
和村站,"114.12957,36.556963"
峰峰站(暂停营业),"114.224637,36.471339"
豆庄站,"113.846963,36.729766"
田庄站,"117.933129,39.413242"
下花园站,"115.280848,40.485517"
义井站,"114.152219,36.501806"
官庄站,"114.506917,37.201389"
南城司站,"115.262706,39.549609"
洼里站,"118.344226,39.696593"
石家庄站(北出站口)(建设中),"114.481799,38.011573"
广德号站,"117.939024,41.878119"
马柳站,"118.526675,39.861162"
沧州站(西出站口),"116.877693,38.309697"
廊坊站(西南进站口),"116.708885,39.509314"
孙家庄站,"115.487994,37.49946"
保定东站(进站口),"115.601415,38.86409"
唐山西站(建设中),"118.028247,39.697389"
昌黎站(西北进站口),"119.16801,39.704379"
石家庄站(北进站口),"114.484204,38.010795"
东港站,"119.041471,39.239205"
保定东站(西北进站口),"115.601093,38.863584"
菱角山站,"118.706673,39.713658"
遵化站,"117.958371,40.162087"
遵化北站,"117.949427,40.213927"
迁安北站,"118.786323,40.098759"
滦县站(南出站口),"118.706393,39.757747"
滦河站,"118.672484,39.853872"
后封台站,"119.065608,39.707073"
海兴站,"117.496351,38.182225"
滦州市站(南进站口),"118.705861,39.758115"
滦河站(南进站口),"118.672531,39.853526"
廊坊站(西南出站口),"116.708104,39.509701"
南大庙站,"117.068499,40.767765"
滦河站(北进站口),"118.672449,39.854483"
滦河站(北出站口),"118.672834,39.854482"
定州站(东进站口),"114.973129,38.52989"
偏店站,"113.754292,36.64657"
弹音站,"113.630288,36.618283"
柳村南站,"119.678992,39.983839"
雷庄站,"118.596629,39.759014"
霸州站(东进站口),"116.375765,39.122554"
翟家庄站,"114.110838,37.999228"
霸州站(东出站口),"116.376117,39.122422"
福山寺站,"118.43619,39.87751"
北戴河站(东南进站口),"119.420276,39.851199"
盐山站,"117.272731,38.085708"
崔家庙站,"116.4121,37.927258"
滦河沿站,"117.543945,41.079507"
金沟屯站,"117.517105,41.059804"
福山口站,"115.341458,39.674787"
固安东站(建设中),"116.404849,39.367477"
保定东站(西北出站口),"115.601253,38.863824"
双峰寺站,"117.978164,41.050873"
燕郊站候车室,"116.825835,39.941784"
捷地站,"116.849835,38.239204"
河间西站,"115.9561,38.504956"
白旗站,"117.672345,41.158984"
衡水东站,"115.94443,37.717669"
板城站,"115.256433,39.614011"
青县站(西南出站口),"116.838464,38.577615"
石家庄站西广场(北出站口),"114.481664,38.011063"
王安镇站,"114.942533,39.408428"
北屯站,"114.768964,39.354482"
辛集站,"115.215343,37.904743"
南张村站,"114.071662,37.997008"
河洛营站,"117.726831,41.394582"
大满庄站,"116.657515,38.11111"
大兴机场站,"116.415692,39.51224"
安国站,"115.321437,38.441829"
大厂站(建设中),"116.903493,39.891206"
曹妃甸南站,"118.544562,38.948329"
浮图峪站,"114.833853,39.366537"
邢台站(东进站口),"114.492706,37.06975"
邢台站(东出站口),"114.492695,37.069913"
汤头沟站,"117.722052,41.445107"
任丘站(西出站口),"116.144453,38.694588"
狼山站,"115.687703,40.352565"
广宗站(进站口),"115.129552,37.081899"
定州东站(西北进站口),"115.075238,38.508643"
高邑西站(东北出站口),"114.530496,37.629708"
张褚站,"117.385849,38.135729"
馆陶站,"115.2791,36.510143"
沧州站(西进站口),"116.877518,38.309228"
龙门站,"115.661583,40.789941"
沙坨子站,"117.745904,41.504973"
承德站(南进站口),"117.954284,40.964836"
承德站(南二出站口),"117.954568,40.964667"
承德站(南一出站口),"117.955108,40.964962"
二道沟门站,"117.150723,40.886183"
武安站,"114.211711,36.676492"
山海关站(西北出站口),"119.76657,40.000557"
马厂站,"116.894446,38.656257"
西大庙站,"117.967842,40.803679"
甲山站,"118.265614,40.788721"
岩峰站,"114.153699,38.064437"
沙河市站候车室,"114.497483,36.861154"
胜芳站(北出站口),"116.759653,39.138847"
胜芳站,"116.759441,39.138754"
胜芳站(西北进站口),"116.759373,39.138677"
永和站,"118.35023,40.778037"
南湾子站,"117.829487,40.734171"
霸州西站(北出站口),"116.350588,39.093351"
霸州西站(北进站口),"116.350206,39.093426"
上谷站,"118.481166,40.796142"
保定站(西北出站口),"115.479391,38.863955"
保定站(西进站口),"115.479119,38.863703"
奇峰塔站,"115.232084,39.490752"
小康庄站,"114.495953,37.013291"
大杖子站,"118.549423,40.851007"
高寺台站,"117.970054,41.161472"
泊头站(西北进站口),"116.586515,38.061482"
泊头站(西北出站口),"116.586405,38.061358"
梁底下站,"117.625807,41.108459"
张家口南站,"114.880305,40.704311"
榆树沟站,"118.404824,40.785741"
昌黎站(西北出站口),"119.168109,39.704406"
杨木栅子站,"116.405333,40.975023"
张百湾站,"117.481558,40.999473"
临城站,"114.611568,37.469616"
石家庄站(南进站口),"114.484194,38.009809"
猴山站,"117.029646,40.81581"
宣化北站,"115.049121,40.633019"
衡水站(南进站口),"115.690889,37.743977"
